group;pattern;base_position
Оборудование;Теплообменник разборный пластинчатый;1
Оборудование;Теплообменник;1
Оборудование;Насос циркуляционный;2
Оборудование;Насос;2
Оборудование;АУПД;12
Оборудование;Узел учета тепла;13
Оборудование;Узел учета;13
Оборудование;Расходомер;14
Оборудование;Счетчик;14
Оборудование;Термометр;15
Оборудование;Манометр;16
Арматура;Клапан предохранительный;3
Арматура;Предохранительный клапан;3
Арматура;Двухходовой регулирующий седельный клапан;4
Арматура;Двухходовой регулирующий;4
Арматура;Двухходовой седельный;4
Арматура;Регулирующий седельный клапан;4
Арматура;Клапан регулятор перепада;4
Арматура;Клапан электромагнитный;4
Арматура;Электромагнитный клапан;4
Арматура;Клапан регулирующий;4
Арматура;Клапан балансировочный;5
Арматура;Клапан перепада;6
Арматура;Обратный клапан муфтовый;7
Арматура;Клапан обратный муфтовый;7
Арматура;Клапан обратный;7
Арматура;Обратный клапан;7
Арматура;Грязевик;8
Арматура;Фильтр сетчатый;9
Арматура;Фильтр;9
Арматура;Гибкая антивибрационная вставка;10
Арматура;Гибкая антивибрационная;10
Арматура;Гибкая вставка;10
Арматура;Вибровставка;10
Арматура;Бак расширительный;11
Арматура;Расширительный бак;11
Арматура;Бак мембранный;11
Арматура;Кран для манометра;17
Арматура;Кран шаровой Standard Hidraulica;18
Арматура;Кран муфтовый;18
Арматура;Шаровый кран;18
Арматура;Шаровой кран;18
Арматура;Кран шаровой;18
Арматура;Кран шаровый;18
Арматура;Затвор дисковый;19
Арматура;Затворы;19
Арматура;Воздухоотводчик;35
Трубопроводы;Труба прямошовная;20
Трубопроводы;Труба стальная;20
Трубопроводы;Труба бесшовная;20
Трубопроводы;Отвод 90°;21
Трубопроводы;Отвод 90;21
Трубопроводы;Отвод стальной;21
Трубопроводы;Отвод 45°;22
Трубопроводы;Отвод 45;22
Трубопроводы;Тройник стальной;23
Трубопроводы;Тройник равнопроходной;23
Трубопроводы;Тройник;23
Трубопроводы;Фланец;24
Трубопроводы;Переход концентрический;25
Трубопроводы;Переход стальной;25
Трубопроводы;Переход;25
Трубопроводы;Заглушка;26
Опоры и конструкции;Опора скользящая;30
Опоры и конструкции;Опора подвижная;30
Опоры и конструкции;Опора бескорпусная;30
Опоры и конструкции;Хомут трубный;30
Опоры и конструкции;Хомут;30
Опоры и конструкции;Опора неподвижная;31
Опоры и конструкции;Колонна;40
Опоры и конструкции;Балка;40
Опоры и конструкции;Уголок;40
Изоляция;Теплоизоляция трубопровода;37
Изоляция;Цилиндры кашированные фольгой;37
Изоляция;Цилиндры кашированные;37
Изоляция;Цилиндры теплоизоляционные;37
Изоляция;Крепеж теплоизоляции трубопровода;38
Изоляция;Крепеж теплоизоляции;33
Изоляция;Лента для теплоизоляции;34
Изоляция;Антикоррозийная защита;36
Изоляция;Теплоизоляция;32
